"date","datatype","station","attributes","value"
"2020-04-18T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-18T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.4
"2020-04-18T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.7
"2020-04-19T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-19T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.3
"2020-04-19T00:00:00","TMIN","GHCND:ASN00085279",",,a,",8.1
"2020-04-20T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.8
"2020-04-20T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.5
"2020-04-20T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.4
"2020-04-21T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-21T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.6
"2020-04-21T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10
"2020-04-22T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-22T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.7
"2020-04-22T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.2
"2020-04-23T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-23T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.4
"2020-04-23T00:00:00","TMIN","GHCND:ASN00085279",",,a,",5.6
"2020-04-24T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-24T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.6
"2020-04-24T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13
"2020-04-25T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-25T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.1
"2020-04-25T00:00:00","TMIN","GHCND:ASN00085279",",,a,",5.2
"2020-04-26T00:00:00","PRCP","GHCND:ASN00085279",",,a,",10.8
"2020-04-26T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.8
"2020-04-26T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.9
